,아파트매매지수,부동산심리지수,kospi,소비자물가지수,New_COFIX,Outstanding_COFIX,실업률,아파트거래량,지가변동률
0,90.1,114.7,2120.03,90.181,3.42,3.69,3.3,11154,0.15
1,90.5,113.2,2160.09,90.613,3.52,3.73,2.8,11009,0.148
2,90.6,107.8,1887.21,90.6131,3.56,3.74,3.1,12681,0.13
3,90.3,105.0,1683.94,90.527,3.54,3.76,3.11,13549,0.131
4,89.4,102.3,1891.22,90.6132,3.59,3.78,3.2,12405,0.129
5,88.8,102.5,1911.5,90.96,3.62,3.81,3.0,16207,0.131
6,88.81,104.1,1831.69,91.444,3.66,3.84,3.21,3300,0.113
7,88.5,99.0,1948.57,91.703,3.84,3.87,4.0,7769,0.108
8,88.0,94.9,2041.52,91.592,4.0,3.89,3.7,10739,0.12
9,87.2,97.2,2022.42,91.522,3.97,3.9,3.8,9639,0.115
10,86.7,103.0,1994.17,91.686,3.82,3.88,3.4,8896,0.112
11,86.1,110.3,1832.08,91.583,3.66,3.86,3.22,7961,0.111
12,85.2,109.5,1864.73,91.375,3.69,3.83,2.9,7443,0.095
13,84.7,106.8,1870.58,91.738,3.7,3.8,2.7,6215,0.049
14,84.5,102.0,1909.06,92.387,3.56,3.76,3.12,5711,0.026
15,84.4,102.4,1998.52,92.18,3.44,3.73,3.1,10384,0.059
16,83.8,98.3,1903.57,91.903,3.56,3.71,3.2,11093,0.058
17,83.1,96.4,1937.28,92.111,3.53,3.67,3.31,15936,0.067
18,83.11,93.6,2013.74,92.621,3.82,3.63,3.23,2884,0.037
19,83.2,83.7,1964.75,93.002,4.29,3.52,3.5,7327,0.029
20,83.5,77.5,2028.55,92.837,4.34,3.19,3.13,10819,0.101
21,83.81,77.8,2009.94,92.682,3.98,2.85,3.32,13516,0.106
22,84.1,79.1,1961.67,92.673,3.4,2.52,3.14,15996,0.133
23,83.9,86.6,1993.11,92.604,2.96,2.25,3.15,21280,0.089
24,83.82,88.2,1851.57,92.82,2.9,2.05,3.16,6043,0.05
25,84.2,92.9,1916.56,93.115,2.38,1.83,3.3,7832,-0.019
26,85.0,100.3,1925.32,93.262,1.98,1.68,2.5,11579,0.0371
27,85.5,104.8,1997.62,92.976,1.84,1.58,2.51,19898,0.104
28,85.4,109.8,2037.25,92.994,1.72,1.5,2.3,17641,0.118
29,85.41,107.3,2050.45,93.088,1.7,1.44,2.71,17080,0.124
30,85.9,103.3,2013.11,93.538,1.64,1.37,2.91,11173,0.042
31,86.5,101.7,1930.09,93.781,1.69,1.3,4.2,15751,0.083
32,87.1,103.4,1967.9,94.006,1.55,1.19,3.81,18490,0.135
33,86.9,111.1,1983.78,94.067,1.29,1.11,3.9,17209,0.14
34,86.91,119.1,1966.29,94.231,1.16,1.07,3.51,13604,0.134
35,86.8,128.9,1998.81,94.101,1.02,1.04,3.33,11709,0.092
36,86.92,131.6,1993.29,94.248,0.95,1.02,3.34,12823,0.109
37,87.5,130.9,2063.71,94.396,0.92,1.02,3.4,13865,0.077
38,88.2,129.1,2067.8,94.335,0.82,1.02,2.92,17676,0.085
39,88.7,124.9,2013.47,94.032,0.82,1.04,2.93,22591,0.1241
40,89.0,120.3,1959.66,93.858,0.84,1.06,2.72,17288,0.1
41,89.2,122.9,1971.95,93.8581,0.83,1.09,3.52,15109,0.1091
42,89.6,127.5,1914.24,94.487,0.86,1.13,4.1,14502,0.1081
43,90.31,129.3,1947.91,94.439,0.9,1.17,4.7,15479,0.1121
44,91.1,131.3,1996.72,94.458,0.9,1.21,4.21,22386,0.1331
45,92.0,131.9,2035.4,94.4871,0.87,1.25,4.2,24069,0.1481
46,92.6,129.5,2134.51,94.799,0.88,1.3,3.91,21103,0.11
47,93.2,122.7,2110.12,94.78,0.8,1.35,4.3,20273,0.155
48,94.1,123.6,2077.27,94.989,0.81,1.41,4.4,20421,0.165
49,94.8,125.1,2026.25,95.102,0.89,1.48,3.92,17431,0.1341
50,95.3,123.8,1934.44,94.809,1.06,1.55,3.71,15882,0.1351
51,95.7,110.8,1963.55,94.847,1.2,1.61,3.41,19466,0.18
52,95.8,105.4,2033.15,94.667,1.26,1.66,3.35,16877,0.167
53,95.31,110.6,2001.51,94.941,1.43,1.72,3.42,14117,0.174
54,95.2,120.9,1954.47,95.131,1.54,1.75,4.3,9894,0.088
55,95.32,117.4,1919.62,95.519,1.6,1.78,5.0,9584,0.1092
56,95.4,115.3,1944.27,95.254,1.63,1.81,4.6,12628,0.171
57,95.41,115.8,1994.77,95.434,1.55,1.83,4.61,13526,0.17
58,95.71,114.4,1991.84,95.472,1.57,1.87,3.72,15668,0.183
59,96.1,109.3,1976.87,95.5,1.52,1.91,3.73,17372,0.222
60,96.8,105.5,1977.36,95.358,1.68,1.96,3.6,18633,0.22
61,97.5,102.7,2024.71,95.5191,1.78,1.98,3.74,18982,0.205
62,98.3,97.8,2022.96,96.012,1.85,2.0,3.75,18055,0.212
63,99.0,91.2,2056.94,96.125,1.85,2.01,3.76,21341,0.232
64,99.1,89.3,2003.41,96.0121,1.94,2.02,3.36,19067,0.221
65,98.7,90.8,1987.48,96.154,1.92,2.02,3.37,15574,0.176
66,98.4,94.0,2022.23,97.272,1.99,2.01,3.61,8628,0.146
67,98.5,90.0,2075.31,97.537,2.04,1.99,5.1,9371,0.209
68,98.6,90.4,2105.19,97.499,1.96,1.95,4.41,12433,0.326
69,98.61,96.8,2166.04,97.329,1.93,1.93,4.62,12272,0.324
