,아파트매매지수,부동산심리지수,kospi,소비자물가지수,New_COFIX,Outstanding_COFIX,실업률,아파트거래량,지가변동률
2011년 7월,80.0,122.9,2120.03,88.654,3.42,3.69,4.2,4096,0.067
2011년 8월,80.2,128.3,2160.09,89.25,3.52,3.73,4.3,4931,0.052
2011년 9월,80.0,121.7,1887.21,89.164,3.56,3.74,4.4,4868,0.049
2011년 10월,79.4,109.2,1683.94,89.079,3.54,3.76,4.0,4701,0.043
2011년 11월,78.6,100.4,1891.22,89.079,3.59,3.78,4.0,4568,0.037
2011년 12월,77.7,99.0,1911.5,89.335,3.62,3.81,4.3,6207,0.038
2012년 1월,78.0,106.3,1831.69,89.829,3.66,3.84,4.6,1536,0.031
2012년 2월,77.7,109.9,1948.57,90.203,3.84,3.87,5.5,3512,0.045
2012년 3월,77.1,104.5,2041.52,90.322,4.0,3.89,4.8,4087,0.098
2012년 4월,76.2,104.0,2022.42,90.356,3.97,3.9,4.4,4214,0.104
2012년 5월,75.8,105.0,1994.17,90.45,3.82,3.88,4.0,3785,0.094
2012년 6월,75.2,93.0,1832.08,90.356,3.66,3.86,4.2,3187,0.058
2012년 7월,74.2,96.5,1864.73,90.305,3.69,3.83,4.2,2952,-0.032
2012년 8월,73.6,102.9,1870.58,90.842,3.7,3.8,4.2,2398,-0.057
2012년 9월,73.2,106.5,1909.06,91.455,3.56,3.76,4.0,2227,-0.055
2012년 10월,73.0,109.8,1998.52,91.225,3.44,3.73,3.6,4239,0.011
2012년 11월,72.8,104.2,1903.57,90.867,3.56,3.71,3.6,5069,0.031
2012년 12월,72.1,102.3,1937.28,91.055,3.53,3.67,3.4,7565,0.05
2013년 1월,72.5,111.2,2013.74,91.549,3.82,3.63,3.9,1213,-0.058
2013년 2월,72.7,118.8,1964.75,91.804,4.29,3.52,4.6,3189,0.055
2013년 3월,73.4,112.8,2028.55,91.719,4.34,3.19,5.0,5466,0.105
2013년 4월,73.7,115.8,2009.94,91.702,3.98,2.85,4.2,6603,0.157
2013년 5월,73.9,115.6,1961.67,91.702,3.4,2.52,4.2,7677,0.152
2013년 6월,73.4,106.2,1993.11,91.566,2.96,2.25,3.9,10237,0.097
2013년 7월,73.3,111.6,1851.57,91.745,2.9,2.05,3.6,2201,-0.039
2013년 8월,73.7,121.7,1916.56,92.076,2.38,1.83,3.7,3179,-0.026
2013년 9월,74.2,126.5,1925.32,92.29,1.98,1.68,3.4,4774,0.145
2013년 10월,74.7,127.4,1997.62,92.051,1.84,1.58,3.4,8537,0.21
